"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2017","156.68","157.72","157.79","156.35","3.83M","-0.15%"
"Sep 15, 2017","156.92","157.79","158.00","156.88","7.43M","-0.05%"
"Sep 14, 2017","157.00","157.00","157.35","156.05","3.11M","0.00%"
"Sep 13, 2017","157.00","156.74","157.78","156.00","4.71M","0.43%"
"Sep 12, 2017","156.33","160.21","160.72","155.77","10.32M","-3.22%"
"Sep 11, 2017","161.53","160.00","161.72","159.92","2.33M","1.14%"
"Sep 08, 2017","159.71","159.53","160.38","159.18","2.98M","-0.12%"
"Sep 07, 2017","159.90","158.47","160.06","158.33","2.97M","1.06%"
"Sep 06, 2017","158.22","159.23","159.37","158.22","4.14M","-0.55%"
"Sep 05, 2017","159.10","159.00","159.78","158.07","4.01M","-0.44%"
"Sep 01, 2017","159.81","159.87","160.20","159.50","1.88M","-0.10%"
"Aug 31, 2017","159.97","159.77","160.00","159.35","2.72M","0.28%"
"Aug 30, 2017","159.53","158.40","159.64","158.32","2.24M","0.09%"
"Aug 29, 2017","159.38","159.20","159.76","158.73","3.28M","-0.18%"
"Aug 28, 2017","159.67","159.04","159.96","158.66","2.03M","0.54%"
"Aug 25, 2017","158.82","158.89","159.34","158.53","2.02M","0.26%"
"Aug 24, 2017","158.41","159.11","159.68","158.33","1.63M","-0.25%"
"Aug 23, 2017","158.81","159.30","159.37","158.38","2.19M","-0.52%"
"Aug 22, 2017","159.64","158.50","159.94","158.39","2.12M","0.81%"
"Aug 21, 2017","158.36","158.17","158.64","157.54","2.20M","0.38%"
"Aug 18, 2017","157.76","157.99","158.28","157.02","2.60M","-0.08%"
"Aug 17, 2017","157.89","158.75","159.53","157.81","3.07M","-0.64%"
"Aug 16, 2017","158.90","157.89","159.38","157.60","2.92M","0.81%"
"Aug 15, 2017","157.62","157.84","158.58","157.34","2.16M","0.23%"
"Aug 14, 2017","157.26","157.45","157.90","156.46","2.81M","-0.03%"
"Aug 11, 2017","157.30","156.88","158.40","156.63","2.93M","0.43%"
"Aug 10, 2017","156.62","154.33","157.20","154.25","3.87M","1.10%"
"Aug 09, 2017","154.92","155.30","155.68","154.35","3.01M","0.00%"
"Aug 08, 2017","154.92","154.67","155.25","154.10","4.23M","-0.03%"
"Aug 07, 2017","154.97","154.14","155.39","154.00","3.25M","0.75%"
"Aug 04, 2017","153.82","154.61","154.82","153.23","4.44M","-0.58%"
"Aug 03, 2017","154.72","156.56","156.77","154.41","3.67M","-1.19%"
"Aug 02, 2017","156.59","153.76","156.65","153.71","3.33M","1.66%"
"Aug 01, 2017","154.04","154.98","155.90","153.71","4.19M","-0.71%"
"Jul 31, 2017","155.14","155.92","156.42","154.85","4.28M","-0.46%"
"Jul 28, 2017","155.85","156.36","156.66","155.07","3.96M","-0.70%"
"Jul 27, 2017","156.95","156.42","157.43","155.54","4.62M","0.28%"
"Jul 26, 2017","156.51","158.76","159.00","155.68","4.68M","-1.61%"
"Jul 25, 2017","159.07","157.75","159.98","156.54","9.51M","4.75%"
"Jul 24, 2017","151.85","154.00","154.22","151.77","5.31M","-1.34%"
"Jul 21, 2017","153.92","154.06","154.70","153.29","3.52M","-0.19%"
"Jul 20, 2017","154.21","154.03","155.22","153.55","2.24M","0.21%"
"Jul 19, 2017","153.89","154.13","154.46","153.48","3.07M","-0.05%"
"Jul 18, 2017","153.96","155.00","155.27","153.37","3.89M","-0.84%"
"Jul 17, 2017","155.26","155.43","155.44","154.70","2.41M","-0.01%"
"Jul 14, 2017","155.28","154.99","155.50","154.73","2.44M","0.15%"
"Jul 13, 2017","155.04","156.49","156.54","154.34","3.17M","-0.98%"
"Jul 12, 2017","156.58","155.41","156.75","155.27","2.09M","1.08%"
"Jul 11, 2017","154.91","155.09","155.88","154.01","2.01M","-0.39%"
"Jul 10, 2017","155.52","156.28","156.53","155.16","2.40M","-0.48%"
"Jul 07, 2017","156.27","153.37","156.56","153.15","4.12M","2.08%"
"Jul 06, 2017","153.09","152.70","153.46","152.33","2.02M","0.01%"
"Jul 05, 2017","153.07","152.82","153.57","151.99","2.50M","0.37%"
"Jul 03, 2017","152.50","153.44","153.87","152.47","1.10M","-0.43%"
"Jun 30, 2017","153.16","153.30","153.77","152.72","2.51M","0.02%"
"Jun 29, 2017","153.13","154.58","154.58","152.15","1.98M","-0.76%"
"Jun 28, 2017","154.30","154.04","154.68","153.74","1.30M","0.38%"
"Jun 27, 2017","153.72","154.00","154.82","153.46","2.14M","-0.16%"
"Jun 26, 2017","153.96","155.18","155.46","153.52","2.36M","-0.44%"
"Jun 23, 2017","154.64","155.00","155.45","154.43","2.21M","-0.10%"
"Jun 22, 2017","154.80","153.78","154.91","153.68","2.00M","0.70%"
"Jun 21, 2017","153.73","154.18","154.42","153.61","2.45M","-0.22%"
"Jun 20, 2017","154.07","154.27","155.28","153.84","3.61M","0.61%"
"Jun 19, 2017","153.14","152.39","153.18","151.84","3.26M","0.76%"
"Jun 16, 2017","151.99","150.98","152.89","150.92","5.44M","0.54%"
"Jun 15, 2017","151.17","149.90","151.52","149.65","2.52M","0.33%"
"Jun 14, 2017","150.68","150.32","151.08","149.91","2.68M","0.57%"
"Jun 13, 2017","149.82","148.86","150.25","148.62","4.27M","0.91%"
"Jun 12, 2017","148.47","151.00","151.08","148.04","5.90M","-1.99%"
"Jun 09, 2017","151.48","151.88","152.00","150.90","4.14M","0.03%"
"Jun 08, 2017","151.43","152.00","152.15","151.01","3.71M","-0.34%"
"Jun 07, 2017","151.94","151.23","152.01","150.73","2.92M","0.47%"
"Jun 06, 2017","151.23","152.37","152.59","151.21","3.66M","-1.02%"
"Jun 05, 2017","152.79","153.63","153.66","152.76","2.63M","-0.62%"
"Jun 02, 2017","153.74","152.52","153.90","152.15","4.32M","0.89%"
"Jun 01, 2017","152.39","150.79","152.39","150.35","4.35M","0.99%"
"May 31, 2017","150.89","150.12","151.15","149.60","6.42M","0.64%"
