"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 09, 2017","60.70","60.62","61.03","60.40","685.88K","-0.80%"
"Aug 08, 2017","61.19","61.93","62.16","60.99","1.22M","-1.56%"
"Aug 07, 2017","62.16","62.29","62.72","61.68","2.17M","0.08%"
"Aug 04, 2017","62.11","61.24","62.55","60.91","1.68M","2.34%"
"Aug 03, 2017","60.69","60.40","61.45","60.18","1.55M","1.68%"
"Aug 02, 2017","59.69","58.07","60.78","57.95","2.72M","0.74%"
"Aug 01, 2017","59.25","59.53","59.95","58.87","2.02M","-0.55%"
"Jul 31, 2017","59.58","60.48","60.57","59.45","1.17M","-1.16%"
"Jul 28, 2017","60.28","60.65","61.04","60.15","976.19K","-1.45%"
"Jul 27, 2017","61.17","61.59","61.76","60.12","1.15M","-0.52%"
"Jul 26, 2017","61.49","61.90","62.15","61.38","620.41K","-0.45%"
"Jul 25, 2017","61.77","60.84","61.82","60.67","1.21M","1.71%"
"Jul 24, 2017","60.73","61.14","61.49","60.60","933.59K","-1.09%"
"Jul 21, 2017","61.40","61.26","61.49","60.84","1.16M","-0.23%"
"Jul 20, 2017","61.54","61.59","61.82","61.35","1.05M","0.00%"
"Jul 19, 2017","61.54","61.08","61.65","60.88","1.02M","1.05%"
"Jul 18, 2017","60.90","60.63","60.93","60.01","1.03M","0.43%"
"Jul 17, 2017","60.64","61.57","61.57","60.62","931.03K","-1.46%"
"Jul 14, 2017","61.54","61.60","61.88","61.24","822.08K","0.03%"
"Jul 13, 2017","61.52","61.34","61.58","60.74","1.85M","0.72%"
"Jul 12, 2017","61.08","60.99","61.40","60.54","3.60M","-1.63%"
"Jul 11, 2017","62.09","61.67","62.42","61.67","836.06K","0.16%"
"Jul 10, 2017","61.99","61.59","62.17","61.21","484.18K","0.98%"
"Jul 07, 2017","61.39","61.46","61.66","61.01","1.34M","0.20%"
"Jul 06, 2017","61.27","61.51","61.70","60.95","1.27M","-1.34%"
"Jul 05, 2017","62.10","61.82","62.45","61.21","1.33M","-0.88%"
"Jul 03, 2017","62.65","62.62","62.83","62.12","1.13M","0.18%"
"Jun 30, 2017","62.54","62.14","62.94","61.90","720.37K","1.13%"
"Jun 29, 2017","61.84","62.13","62.16","61.14","1.01M","-1.04%"
"Jun 28, 2017","62.49","62.26","62.62","61.65","909.33K","1.18%"
"Jun 27, 2017","61.76","62.38","62.38","61.56","807.08K","-1.09%"
"Jun 26, 2017","62.44","62.42","62.90","61.91","722.47K","0.47%"
"Jun 23, 2017","62.15","61.58","62.71","61.58","819.65K","0.36%"
"Jun 22, 2017","61.93","61.97","62.18","61.74","877.73K","0.13%"
"Jun 21, 2017","61.85","61.47","62.30","61.33","1.34M","0.26%"
"Jun 20, 2017","61.69","61.55","62.19","61.17","1.87M","-0.34%"
"Jun 19, 2017","61.90","61.08","62.58","61.03","2.42M","1.73%"
"Jun 16, 2017","60.85","59.73","61.25","59.35","1.83M","2.18%"
"Jun 15, 2017","59.55","58.84","59.82","58.07","1.80M","0.54%"
"Jun 14, 2017","59.23","58.94","59.58","58.21","2.42M","3.15%"
"Jun 13, 2017","57.42","57.24","58.00","57.04","1.24M","0.68%"
"Jun 12, 2017","57.03","57.08","57.40","56.15","1.37M","-0.70%"
"Jun 09, 2017","57.43","58.53","58.98","56.87","1.36M","-1.81%"
"Jun 08, 2017","58.49","59.75","59.75","58.05","1.72M","-2.06%"
"Jun 07, 2017","59.72","59.94","60.06","59.32","979.65K","-0.45%"
"Jun 06, 2017","59.99","59.99","60.12","59.51","720.87K","-0.40%"
"Jun 05, 2017","60.23","60.60","60.70","59.79","1.15M","-1.05%"
"Jun 02, 2017","60.87","61.46","61.61","60.61","1.18M","-0.67%"
"Jun 01, 2017","61.28","61.46","61.57","59.70","2.31M","-0.63%"
"May 31, 2017","61.67","62.38","62.38","61.17","664.93K","-0.90%"
"May 30, 2017","62.23","61.43","62.45","61.43","909.98K","1.32%"
"May 26, 2017","61.42","61.00","61.68","60.97","725.90K","0.77%"
"May 25, 2017","60.95","60.90","61.02","60.50","524.74K","0.69%"
"May 24, 2017","60.53","59.67","60.63","59.58","587.98K","1.51%"
"May 23, 2017","59.63","60.27","60.33","59.48","591.73K","-0.62%"
"May 22, 2017","60.00","60.37","60.61","59.84","491.30K","-0.56%"
"May 19, 2017","60.34","59.34","60.66","59.13","886.38K","2.05%"
"May 18, 2017","59.13","58.96","59.38","58.51","801.39K","0.24%"
"May 17, 2017","58.99","59.05","59.47","58.83","762.05K","-1.11%"
"May 16, 2017","59.65","59.56","60.11","59.54","706.79K","0.08%"
"May 15, 2017","59.60","59.43","59.97","59.34","459.72K","0.88%"
"May 12, 2017","59.08","59.19","59.35","58.78","516.28K","-0.37%"
"May 11, 2017","59.30","59.31","59.82","59.17","540.67K","-1.02%"
"May 10, 2017","59.91","59.06","59.94","58.89","738.72K","1.22%"
"May 09, 2017","59.19","58.71","59.36","58.64","1.12M","1.14%"
"May 08, 2017","58.52","58.92","59.08","58.41","789.85K","-0.58%"
"May 05, 2017","58.86","57.24","58.89","57.13","1.42M","3.41%"
"May 04, 2017","56.92","56.71","57.03","56.49","500.66K","0.18%"
"May 03, 2017","56.82","56.52","57.01","56.52","860.41K","0.37%"
"May 02, 2017","56.61","56.59","56.91","56.08","1.03M","0.84%"
"May 01, 2017","56.14","56.45","56.47","55.85","705.95K","-0.05%"
"Apr 28, 2017","56.17","56.45","56.85","55.98","1.20M","-1.06%"
"Apr 27, 2017","56.77","56.83","57.11","56.12","1.55M","0.19%"
"Apr 26, 2017","56.66","56.03","57.00","54.00","3.38M","-3.10%"
"Apr 25, 2017","58.47","57.75","58.62","57.66","1.67M","1.48%"
"Apr 24, 2017","57.62","57.31","57.73","56.99","797.33K","1.80%"
"Apr 21, 2017","56.60","56.59","56.89","56.41","885.11K","-0.16%"
