Date,Price,Open,High,Low,Vol.,Change %
12-Feb-18,464.25,452.5,465,451.5,-,3.34%
9-Feb-18,449.25,456.5,456.5,448.25,-,-1.59%
8-Feb-18,456.5,461,464.5,451.5,-,-0.98%
7-Feb-18,461,446.75,461.75,446.75,-,3.19%
6-Feb-18,446.75,442,447.75,438.75,-,1.07%
5-Feb-18,442,447,447,438.75,-,-1.12%
2-Feb-18,447,451.25,451.25,445,-,-0.94%
1-Feb-18,451.25,451.5,451.5,443.25,-,-0.06%
31-Jan-18,451.5,458,458.75,447.5,-,-1.42%
30-Jan-18,458,449,458.25,449,-,2.00%
29-Jan-18,449,443.5,449.75,443.5,-,1.53%
26-Jan-18,442.25,434.25,442.5,434.25,-,1.84%
25-Jan-18,434.25,432.5,438.75,429.5,-,0.40%
24-Jan-18,432.5,421.75,433.75,420.75,-,2.55%
23-Jan-18,421.75,425.5,425.5,419.75,-,-0.88%
22-Jan-18,425.5,424.25,427.5,423.25,-,0.53%
19-Jan-18,423.25,425.5,427.25,421.5,-,-0.35%
18-Jan-18,424.75,421.5,425.75,421.25,-,0.77%
17-Jan-18,421.5,416.25,423,415.5,-,1.26%
16-Jan-18,416.25,420.75,422.5,413.25,-,-1.07%
12-Jan-18,420.75,433.75,436,418.75,-,-3.00%
11-Jan-18,433.75,434,434.25,428.75,-,-0.06%
10-Jan-18,434,431.75,435,431.5,-,0.52%
9-Jan-18,431.75,427,433.75,425.5,-,1.11%
8-Jan-18,427,430.25,432.25,425.75,-,-0.93%
5-Jan-18,431,433.5,433.75,427.5,-,-0.58%
4-Jan-18,433.5,435,436,431,-,-0.34%
3-Jan-18,435,434.25,437,432,-,0.17%
2-Jan-18,434.25,429.5,436,429.5,-,1.58%
29-Dec-17,427.5,426.75,428,424,-,0.18%
28-Dec-17,426.75,427.25,428.5,425.25,-,-0.12%
27-Dec-17,427.25,422.25,428.25,420.75,-,1.18%
26-Dec-17,422.25,424.75,426.75,420.75,-,-0.59%
22-Dec-17,424.75,426.75,429,424.5,-,-0.53%
21-Dec-17,427,424,427.5,423,-,0.95%
20-Dec-17,423,419.5,424.5,416.38,-,0.71%
19-Dec-17,420,421,424,419.5,-,-0.18%
18-Dec-17,420.75,420.75,423.5,419.5,-,0.66%
15-Dec-17,418,419,421.5,415.5,-,0.06%
14-Dec-17,417.75,417.5,420.75,416.25,-,0.12%
13-Dec-17,417.25,411.5,417.25,411.5,-,1.46%
12-Dec-17,411.25,413.5,418.75,411.25,-,-0.48%
11-Dec-17,413.25,417.75,418.75,411,-,-1.37%
8-Dec-17,419,420.5,424.62,418,-,-0.53%
7-Dec-17,421.25,425,425.75,419.75,-,-1.00%
6-Dec-17,425.5,432.25,433.62,424.75,-,-1.50%
