"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2017","64.62","65.08","65.15","64.42","19.56K","-0.74%"
"Nov 03, 2017","65.10","66.05","66.30","64.78","20.56K","-1.06%"
"Nov 02, 2017","65.80","66.47","66.47","65.30","25.45K","-1.20%"
"Nov 01, 2017","66.60","67.95","68.00","66.30","28.66K","-2.06%"
"Oct 31, 2017","68.00","65.62","68.17","65.42","35.29K","4.34%"
"Oct 30, 2017","65.17","64.45","65.30","64.33","17.31K","1.12%"
"Oct 27, 2017","64.45","65.00","65.15","63.67","18.54K","-0.92%"
"Oct 26, 2017","65.05","64.62","65.55","64.10","21.98K","0.90%"
"Oct 25, 2017","64.47","63.88","64.67","63.67","16.01K","0.69%"
"Oct 24, 2017","64.03","63.50","64.38","62.95","18.72K","0.80%"
"Oct 23, 2017","63.52","64.90","65.33","63.45","19.11K","-2.05%"
"Oct 20, 2017","64.85","64.28","64.92","63.90","19.47K","0.93%"
"Oct 19, 2017","64.25","64.00","64.65","63.60","18.44K","0.78%"
"Oct 18, 2017","63.75","62.30","63.80","62.30","21.05K","2.54%"
"Oct 17, 2017","62.17","64.00","64.50","61.98","21.12K","-2.40%"
"Oct 16, 2017","63.70","62.50","63.88","62.30","19.50K","2.41%"
"Oct 13, 2017","62.20","61.75","62.40","61.52","11.50K","2.47%"
"Oct 12, 2017","60.70","61.48","61.50","60.60","3.19K","-0.90%"
"Oct 11, 2017","61.25","60.75","61.27","60.40","3.72K","1.79%"
"Oct 10, 2017","60.17","59.67","60.40","59.58","3.25K","1.95%"
"Oct 09, 2017","59.02","59.33","59.70","58.85","4.34K","-0.25%"
"Oct 06, 2017","59.17","61.38","61.38","59.10","5.42K","-2.87%"
"Oct 05, 2017","60.92","60.67","61.75","60.62","6.85K","0.98%"
"Oct 04, 2017","60.33","60.50","61.05","59.83","7.63K","0.75%"
"Oct 03, 2017","59.88","58.08","60.25","58.08","21.76K","4.59%"
"Oct 02, 2017","57.25","55.85","57.92","55.65","11.03K","3.34%"
"Sep 29, 2017","55.40","55.40","56.38","55.27","9.87K","-0.27%"
"Sep 28, 2017","55.55","55.58","56.17","55.45","8.40K","0.27%"
"Sep 27, 2017","55.40","55.40","56.20","54.92","12.41K","0.27%"
"Sep 26, 2017","55.25","56.52","56.58","55.02","12.71K","-1.92%"
"Sep 25, 2017","56.33","55.60","56.90","55.38","8.78K","1.13%"
"Sep 22, 2017","55.70","56.38","56.65","55.67","14.14K","-2.84%"
"Sep 21, 2017","57.33","58.55","58.55","57.08","16.79K","-2.25%"
"Sep 20, 2017","58.65","59.35","59.60","58.48","27.20K","-2.45%"
"Sep 19, 2017","60.12","60.02","60.80","59.65","20.29K","0.20%"
"Sep 18, 2017","60.00","60.38","60.88","59.80","20.70K","-1.61%"
"Sep 15, 2017","60.98","58.60","61.20","58.50","30.43K","3.32%"
"Sep 14, 2017","59.02","59.48","60.10","58.60","27.21K","-0.94%"
"Sep 13, 2017","59.58","58.83","59.98","58.25","37.31K","0.22%"
"Sep 12, 2017","59.45","60.73","60.92","59.23","34.90K","-3.46%"
"Sep 11, 2017","61.58","61.83","62.27","61.25","26.82K","-0.92%"
"Sep 08, 2017","62.15","61.20","62.95","61.08","26.61K","1.14%"
"Sep 07, 2017","61.45","62.83","63.05","61.33","27.51K","-3.30%"
"Sep 06, 2017","63.55","64.00","64.35","63.25","22.81K","-0.31%"
"Sep 05, 2017","63.75","62.08","64.45","61.88","30.42K","3.74%"
"Sep 01, 2017","61.45","61.30","62.58","61.17","22.25K","0.08%"
"Aug 31, 2017","61.40","61.67","62.60","61.27","29.37K","0.08%"
"Aug 30, 2017","61.35","60.40","61.70","60.15","23.73K","1.86%"
"Aug 29, 2017","60.23","61.62","61.75","59.83","20.62K","-2.26%"
"Aug 28, 2017","61.62","62.77","63.00","61.58","19.35K","-2.31%"
"Aug 25, 2017","63.08","63.92","64.30","62.77","19.15K","-1.08%"
"Aug 24, 2017","63.77","63.55","64.03","62.62","22.44K","0.35%"
"Aug 23, 2017","63.55","63.60","63.77","62.77","22.21K","-0.52%"
"Aug 22, 2017","63.88","64.85","65.15","63.35","22.79K","-1.22%"
"Aug 21, 2017","64.67","65.50","65.70","64.25","17.15K","-2.19%"
"Aug 18, 2017","66.12","66.50","66.80","65.42","19.37K","-1.20%"
"Aug 17, 2017","66.92","68.47","68.47","66.42","22.27K","-2.70%"
"Aug 16, 2017","68.78","70.60","71.33","67.95","28.56K","-2.48%"
"Aug 15, 2017","70.53","69.47","70.90","69.38","22.67K","1.97%"
"Aug 14, 2017","69.17","68.70","69.47","68.62","13.31K","-18.29%"
"Aug 11, 2017","84.65","84.60","84.75","84.50","3.55K","0.24%"
"Aug 10, 2017","84.45","84.17","84.50","84.05","5.51K","0.39%"
"Aug 09, 2017","84.12","83.80","84.17","83.72","3.76K","0.71%"
"Aug 08, 2017","83.53","83.67","83.92","83.35","4.70K","0.16%"
"Aug 07, 2017","83.40","83.62","83.72","83.08","6.70K","0.22%"
"Aug 04, 2017","83.22","82.25","83.33","82.25","6.23K","1.52%"
"Aug 03, 2017","81.97","82.25","82.35","80.80","9.62K","0.02%"
"Aug 02, 2017","81.95","80.25","82.17","79.95","10.66K","2.69%"
"Aug 01, 2017","79.80","80.33","80.40","79.60","10.26K","-0.62%"
"Jul 31, 2017","80.30","81.03","81.50","80.25","7.40K","-1.35%"
"Jul 28, 2017","81.40","82.58","82.58","81.12","6.90K","-1.03%"
"Jul 27, 2017","82.25","81.85","82.42","81.33","6.00K","0.30%"
"Jul 26, 2017","82.00","81.85","82.70","81.50","7.70K","0.68%"
"Jul 25, 2017","81.45","81.20","81.72","80.78","8.51K","1.33%"
"Jul 24, 2017","80.38","80.72","81.03","80.08","9.09K","-0.89%"
"Jul 21, 2017","81.10","81.22","82.00","81.00","12.55K","0.00%"
"Jul 20, 2017","81.10","82.65","82.80","81.05","16.02K","-1.79%"
"Jul 19, 2017","82.58","80.62","83.03","80.12","17.24K","2.58%"
"Jul 18, 2017","80.50","80.95","81.25","79.90","17.67K","-0.35%"
"Jul 17, 2017","80.78","80.05","81.10","79.78","16.34K","-12.76%"
"Jul 14, 2017","92.60","92.75","92.75","92.35","1.77K","-0.16%"
"Jul 13, 2017","92.75","92.60","92.83","92.45","2.93K","0.18%"
"Jul 12, 2017","92.58","92.50","92.65","92.38","2.43K","0.47%"
"Jul 11, 2017","92.15","91.92","92.28","91.83","3.17K","0.74%"
"Jul 10, 2017","91.47","91.92","92.08","91.33","2.74K","-0.27%"
"Jul 07, 2017","91.72","91.78","92.10","91.55","3.72K","0.27%"
"Jul 06, 2017","91.47","92.47","92.47","91.20","5.08K","-0.63%"
"Jul 05, 2017","92.05","91.30","92.58","91.15","4.79K","1.49%"
"Jul 03, 2017","90.70","91.05","91.08","90.05","3.24K","0.09%"
"Jun 30, 2017","90.62","89.97","90.85","89.80","7.01K","1.29%"
"Jun 29, 2017","89.47","88.25","89.65","88.15","6.27K","1.76%"
"Jun 28, 2017","87.92","86.90","88.00","86.58","7.11K","1.68%"
"Jun 27, 2017","86.47","87.30","87.40","86.25","5.88K","-0.64%"
"Jun 26, 2017","87.03","85.67","87.72","85.55","8.42K","2.03%"
"Jun 23, 2017","85.30","85.15","85.35","84.10","7.54K","0.32%"
"Jun 22, 2017","85.03","85.95","85.97","84.50","7.45K","-1.22%"
"Jun 21, 2017","86.08","85.60","86.40","85.40","12.48K","1.27%"
"Jun 20, 2017","85.00","84.50","85.28","84.20","14.30K","1.31%"
"Jun 19, 2017","83.90","82.97","84.38","82.88","18.85K","1.91%"
"Jun 16, 2017","82.33","82.20","82.80","81.65","11.31K","0.34%"
"Jun 15, 2017","82.05","82.85","83.45","80.72","16.41K","-0.64%"
"Jun 14, 2017","82.58","83.00","83.67","82.22","16.53K","-0.24%"
"Jun 13, 2017","82.78","82.25","82.85","82.20","3.73K","0.99%"
"Jun 12, 2017","81.97","82.30","82.50","81.90","3.02K","-0.61%"
"Jun 09, 2017","82.47","82.40","82.60","82.25","2.10K","0.54%"
"Jun 08, 2017","82.03","81.95","82.35","81.78","3.70K","0.50%"
"Jun 07, 2017","81.62","81.90","82.22","81.50","5.01K","-0.04%"
"Jun 06, 2017","81.65","81.22","82.35","80.92","5.91K","1.15%"
"Jun 05, 2017","80.72","81.10","81.72","80.45","5.25K","-0.62%"
"Jun 02, 2017","81.22","81.25","81.65","80.88","5.11K","0.37%"
"Jun 01, 2017","80.92","82.38","82.38","80.67","6.22K","-1.22%"
"May 31, 2017","81.92","80.90","82.67","80.78","8.90K","1.76%"
"May 30, 2017","80.50","81.65","81.70","80.40","6.17K","-1.63%"
"May 26, 2017","81.83","81.20","81.88","80.85","5.34K","1.09%"
