Date,Price,Open,High,Low,Vol.,Change %,
27-Feb-18,10594.40,10287.80,10867.20,10120.50,202.58K,3.01%,
26-Feb-18,10285.10,9590.90,10378.40,9410.30,235.94K,7.30%,
23-Feb-18,10170.40,9840.60,10419.10,9597.80,271.50K,3.34%,
22-Feb-18,9841.70,10470.10,10930.20,9743.90,316.63K,-6.03%,
21-Feb-18,10473.00,11240.90,11289.70,10252.20,327.14K,-6.81%,
20-Feb-18,11238.70,11169.70,11791.50,11119.90,267.56K,0.62%,
16-Feb-18,10178.70,10031.30,10294.30,9707.70,206.44K,1.41%,
15-Feb-18,10037.30,9475.60,10206.80,9348.50,291.28K,5.92%,
14-Feb-18,9476.30,8542.60,9500.00,8541.60,246.88K,10.97%,
13-Feb-18,8539.20,8906.20,8942.70,8378.00,195.87K,-4.09%,
12-Feb-18,8903.50,8083.60,8984.90,8083.60,238.67K,10.17%,
9-Feb-18,8699.80,8163.60,8735.60,7784.60,233.94K,6.56%,
8-Feb-18,8164.20,7595.10,8489.90,7595.10,296.10K,7.50%,
7-Feb-18,7594.70,7693.80,8536.50,7196.60,445.62K,-1.38%,
6-Feb-18,7701.20,6939.30,7896.20,5996.60,886.88K,10.99%,
5-Feb-18,6938.50,8220.80,8383.20,6651.90,593.89K,-15.61%,
2-Feb-18,8893.20,9179.80,9201.40,7915.80,519.40K,-3.14%,
1-Feb-18,9181.10,10266.20,10303.00,8789.20,358.40K,-10.56%,
31-Jan-18,10265.40,10166.30,10397.70,9742.20,208.47K,0.98%,
30-Jan-18,10166.00,11244.50,11277.20,9917.70,264.72K,-9.59%,
29-Jan-18,11244.80,11794.90,11888.10,11119.00,137.42K,-4.67%,
26-Jan-18,11118.10,11203.10,11655.30,10389.40,253.91K,-0.76%,
25-Jan-18,11203.00,11439.90,11740.90,10983.80,181.81K,-2.18%,
24-Jan-18,11452.30,10899.40,11549.50,10584.50,136.06K,5.04%,
23-Jan-18,10903.20,10869.00,11438.00,10056.60,188.37K,0.35%,
22-Jan-18,10864.80,11597.50,11970.90,10136.80,201.73K,-6.30%,
19-Jan-18,11580.20,11229.60,11973.20,10901.50,170.74K,2.98%,
18-Jan-18,11245.40,11202.00,12004.70,10660.20,242.45K,0.47%,
17-Jan-18,11192.30,11357.70,11769.60,9271.30,361.80K,-1.49%,
16-Jan-18,11362.00,13704.40,13711.00,10050.70,317.10K,-17.05%,
12-Jan-18,13886.70,13529.20,14176.40,13410.00,82.37K,2.60%,
11-Jan-18,13535.40,15046.70,15109.10,13048.30,167.81K,-10.02%,
10-Jan-18,15043.00,14778.50,15045.40,13613.10,87.07K,1.79%,
9-Jan-18,14778.50,14976.20,15324.60,14613.40,71.40K,-1.32%,
8-Jan-18,14976.20,16228.30,16302.90,13902.30,142.45K,-7.71%,
5-Jan-18,16954.80,15180.10,17126.90,14832.40,141.96K,11.69%,
4-Jan-18,15180.10,15156.50,15408.70,14244.70,110.97K,0.15%,
3-Jan-18,15156.60,14754.10,15435.00,14579.70,106.54K,2.73%,
